"Oreo Galleta Chocolate 2oz",2,1,Unit(s),2,30,22.5,Customers
"Pastelitos Pollo",20,1,Unit(s),20,30,20,Stock
Platanitos,1,1,Unit(s),1,40,24.11,Customers
"Croquetas de Pollo",20,1,Unit(s),20,30,20,Stock
"Hershey's Cookies & Creme",1,1,Unit(s),1,45,32.22,Customers
"Wraps de Pollo",10,1,Unit(s),10,110,60,Stock
"Pica expres Palitos Sabor Original",1,1,Unit(s),1,15,10.67,Customers
"Wraps de Jamon y Queso",10,1,Unit(s),10,110,60,Stock
"Pica expres Palitos Sabor Original",1,1,Unit(s),1,15,10.67,Customers
"M & M Chocolate",1,1,Unit(s),1,45,28.65,Customers
Platanitos,1,1,Unit(s),1,40,24.11,Customers
"Mofongo Snak",15,1,Unit(s),15,40,24.11,Stock
"Crackets MiniSandwich",1,0.083333333333,Dozen(s),12.000000000048,25,16.5,Stock
Platanitos,1,1,Unit(s),1,40,24.11,Customers
Platanitos,1,1,Unit(s),1,40,24.11,Customers
Chicharron,1,1,Unit(s),1,40,24.11,Customers
"Servilletas 100/1",3,1,Unit(s),3,0,0,Stock
"Plato Rigido #6",4,1,Unit(s),4,0,44,Stock
"Pala 6013C",1,1,Unit(s),1,0,89,Stock
"Wraps de Pollo",1,1,Unit(s),1,110,60,Customers
"Coca Cola Light 20onz",1,1,Unit(s),1,35,24.72,Customers
"Fanta Uva 20oz",1,1,Unit(s),1,35,34.95,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Mofongo Snak",1,1,Unit(s),1,40,24.11,Customers
"Club Social Galletas ",1,1,Unit(s),1,10,5.18,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Country Club Refresco Rojo 20oz",8,1,Unit(s),8,35,24.72,Stock
"Country Club Refresco Merengue 20oz",8,1,Unit(s),8,35,24.72,Stock
"Country Club Refresco Uva 20oz",8,1,Unit(s),8,35,24.72,Stock
"Agua Dasani",12,1,Unit(s),12,25,11.42,Stock
"Coca Cola 20 oz",12,1,Unit(s),12,35,24.67,Stock
Doritos,2,1,Unit(s),2,40,24.11,Customers
"Croquetas de Pollo",1,1,Unit(s),1,30,20,Customers
"Hershey's Cookies & Creme",2,1,Unit(s),2,45,32.22,Customers
"Pastelitos Pollo",2,1,Unit(s),2,30,20,Customers
"Lays Clasicas",1,1,Unit(s),1,40,24.11,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
"Lays Queso Blanco",1,1,Unit(s),1,40,24.11,Customers
Doritos,1,1,Unit(s),1,40,24.11,Customers
Doritos,2,1,Unit(s),2,40,24.11,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
Doritos,1,1,Unit(s),1,40,24.11,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Kikaboni Moringa Pita Chips 1.25oz",2,1,Unit(s),2,55,41.3,Customers
"Lays Clasicas",2,1,Unit(s),2,40,24.11,Customers
"Mofongo Snak",1,1,Unit(s),1,40,24.11,Customers
Doritos,1,1,Unit(s),1,40,24.11,Customers
Doritos,1,1,Unit(s),1,40,24.11,Customers
"Country Club Refresco Merengue 20oz",1,1,Unit(s),1,35,24.72,Customers
"Lays Queso Blanco",1,1,Unit(s),1,40,24.11,Customers
"Kikaboni Moringa Pita Chips 1.25oz",24,1,Unit(s),24,55,41.3,Stock
"Kikaboni Quinoa Pita Chips 1.25oz",24,1,Unit(s),24,55,41.3,Stock
"Wraps de Pollo",1,1,Unit(s),1,110,60,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Lays Queso Blanco",2,1,Unit(s),2,40,24.11,Customers
"Sprite 20oz",1,1,Unit(s),1,35,24.72,Customers
"Sprite 20oz",1,1,Unit(s),1,35,24.72,Customers
"Pica Expres Yaniquequitos Crackers",1,1,Unit(s),1,15,10.67,Customers
"M & M Con Mani",1,1,Unit(s),1,45,28.65,Customers
"Crackets MiniSandwich",1,1,Unit(s),1,25,16.5,Customers
"Snickers Almond",1,1,Unit(s),1,45,31.88,Customers
"Pica Expres Yaniquequitos Crackers",2,1,Unit(s),2,15,10.67,Customers
"Milky Way",1,1,Unit(s),1,45,28.61,Customers
"Pica expres Palitos Sabor Original",2,1,Unit(s),2,15,10.67,Customers
"M & M Chocolate",1,1,Unit(s),1,45,28.65,Customers
Doritos,1,1,Unit(s),1,40,24.11,Customers
Doritos,1,1,Unit(s),1,40,24.11,Customers
Doritos,1,1,Unit(s),1,40,24.11,Customers
"Mofongo Snak",1,1,Unit(s),1,40,24.11,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Lays Clasicas",1,1,Unit(s),1,40,24.11,Customers
"Wraps de Jamon y Queso",1,1,Unit(s),1,110,60,Customers
Cheetos,2,1,Unit(s),2,40,24.11,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
Cheetos,2,1,Unit(s),2,40,24.11,Customers
"Lays Queso Blanco",2,1,Unit(s),2,40,24.11,Customers
"Sprite 20oz",1,1,Unit(s),1,35,24.72,Customers
"Mofongo Snak",1,1,Unit(s),1,40,24.11,Customers
"Planters Maní 1 oz",1,1,Unit(s),1,20,8.33,Customers
Platanitos,20,1,Unit(s),20,40,24.11,Stock
Platanitos,1,1,Unit(s),1,40,24.11,Customers
"Kikaboni Moringa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
Doritos,1,1,Unit(s),1,40,24.11,Customers
"Crackets Galletas 43g",6,1,Unit(s),6,10,7.18,Stock
"Quaker Galletas De Avena Frutos Rojos 38g",6,1,Unit(s),6,20,14.01,Stock
"Quaker Galletas De Avena Pasas 38g",6,1,Unit(s),6,20,14.01,Stock
"Quaker Galletas De Avena Granola 38g",6,1,Unit(s),6,20,14.01,Stock
"Quaker Galletas De Avena Chocolate 38g",3,1,Unit(s),3,20,14.02,Stock
"Florentinas Sabor Fresa 83g",3,1,Unit(s),3,30,21.03,Stock
"Emperador Vainilla Cremosa 81g",6,1,Unit(s),6,25,17.52,Stock
"M & M Con Mani",1,1,Unit(s),1,45,28.65,Customers
"Lays Queso Blanco",2,1,Unit(s),2,40,24.11,Stock
"Sprite 20oz",1,1,Unit(s),1,35,24.72,Customers
"Lays Clasicas",1,1,Unit(s),1,40,24.11,Customers
"Pastelitos Pollo",2,1,Unit(s),2,30,20,Customers
"Agua Dasani",2,1,Unit(s),2,25,11.42,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Lays Queso Blanco",1,1,Unit(s),1,40,24.11,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
"Mofongo Snak",1,1,Unit(s),1,40,24.11,Customers
"Lays Queso Blanco",1,1,Unit(s),1,40,24.11,Customers
"Sprite 20oz",1,1,Unit(s),1,35,24.72,Customers
Platanitos,1,1,Unit(s),1,40,24.11,Customers
"Lays Clasicas",1,1,Unit(s),1,40,24.11,Customers
"Country Club Refresco Merengue 20oz",1,1,Unit(s),1,35,24.72,Customers
Doritos,1,1,Unit(s),1,40,24.11,Customers
Chicharron,1,1,Unit(s),1,40,24.11,Customers
Platanitos,1,1,Unit(s),1,40,24.11,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
"M & M Chocolate",1,1,Unit(s),1,45,28.65,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
"Kikaboni Quinoa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
Doritos,20,1,Unit(s),20,40,24.11,Stock
Chicharron,1,1,Unit(s),1,40,24.11,Customers
"Sprite 20oz",1,1,Unit(s),1,35,24.72,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
Doritos,1,1,Unit(s),1,40,24.11,Customers
"Quaker Galletas De Avena Pasas 38g",2,1,Unit(s),2,20,14.01,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Coca Cola Light 20onz",1,1,Unit(s),1,35,24.72,Customers
Cheetos,1,1,Unit(s),1,40,24.11,Customers
"Country Club Refresco Uva 20oz",1,1,Unit(s),1,35,24.72,Customers
"Pica expres Palitos Sabor Original",1,1,Unit(s),1,15,10.67,Customers
Doritos,1,1,Unit(s),1,40,24.11,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
"Mofongo Snak",20,1,Unit(s),20,40,24.11,Stock
Chicharron,10,1,Unit(s),10,40,24.11,Stock
Platanitos,10,1,Unit(s),10,40,24.11,Stock
"Kikaboni Quinoa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Fanta Uva 20oz",1,1,Unit(s),1,35,34.95,Customers
"Lays Queso Blanco",1,1,Unit(s),1,40,24.11,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Kikaboni Moringa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
Chicharron,1,1,Unit(s),1,40,24.11,Customers
"Kikaboni Moringa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Pica expres Palitos Sabor Original",1,1,Unit(s),1,15,10.67,Customers
Cheetos,1,1,Unit(s),1,40,24.11,Customers
"Lays Queso Blanco",1,1,Unit(s),1,40,24.11,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Crackets MiniSandwich",1,1,Unit(s),1,25,16.5,Customers
"Hershey's Cookies & Creme",1,1,Unit(s),1,45,32.22,Customers
"Kikaboni Moringa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
Chicharron,1,1,Unit(s),1,40,24.11,Customers
"Pringles Papita Quezo 40g",1,1,Unit(s),1,35,24.58,Customers
"Pringles Papita Quezo 40g",1,1,Unit(s),1,35,24.58,Customers
"Hershey's Cookies & Creme",2,1,Unit(s),2,45,32.22,Customers
"Country Club Refresco Uva 20oz",1,1,Unit(s),1,35,24.72,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
Platanitos,2,1,Unit(s),2,40,24.11,Customers
"Sprite 20oz",12,1,Unit(s),12,35,24.72,Stock
"Planters Maní 1 oz",2,1,Unit(s),2,20,8.33,Customers
"Sprite 20oz",1,1,Unit(s),1,35,24.72,Customers
"Mofongo Snak",1,1,Unit(s),1,40,24.11,Customers
Platanitos,1,1,Unit(s),1,40,24.11,Customers
Cheetos,20,1,Unit(s),20,40,24.11,Stock
"Lays Queso Blanco",1,1,Unit(s),1,40,24.11,Customers
"Sprite 20oz",1,1,Unit(s),1,35,24.72,Customers
"Kikaboni Moringa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Lays Clasicas",1,1,Unit(s),1,40,24.11,Customers
Doritos,1,1,Unit(s),1,40,24.11,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
Platanitos,1,1,Unit(s),1,40,24.11,Customers
"Mofongo Snak",1,1,Unit(s),1,40,24.11,Customers
"Lays Queso Blanco",1,1,Unit(s),1,40,24.11,Customers
Platanitos,1,1,Unit(s),1,40,24.11,Customers
"Wraps de Jamon y Queso",4,1,Unit(s),4,110,60,Customers
"Kikaboni Moringa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Coca Cola 20 oz",2,1,Unit(s),2,35,24.67,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
"Mofongo Snak",2,1,Unit(s),2,40,24.11,Customers
Cheetos,1,1,Unit(s),1,40,24.11,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Mofongo Snak",1,1,Unit(s),1,40,24.11,Customers
"Lays Clasicas",1,1,Unit(s),1,40,24.11,Customers
"Sprite 20oz",1,1,Unit(s),1,35,24.72,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Country Club Refresco Merengue 20oz",1,1,Unit(s),1,35,24.72,Customers
"Croquetas de Pollo",1,1,Unit(s),1,30,20,Customers
Cheetos,1,1,Unit(s),1,40,24.11,Customers
"Pringles Papita Quezo 40g",1,1,Unit(s),1,35,24.58,Customers
"Pringles Papita Original",1,1,Unit(s),1,35,24.58,Customers
"Country Club Refresco Uva 20oz",1,1,Unit(s),1,35,24.72,Customers
"Kikaboni Moringa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Oreo Galleta Chocolate 2oz",1,1,Unit(s),1,30,22.5,Customers
"Crackets Galletas 43g",6,1,Unit(s),6,10,7.18,Stock
Chicharron,1,1,Unit(s),1,40,24.11,Customers
"Lays Clasicas",1,1,Unit(s),1,40,24.11,Customers
"Agua Dasani",2,1,Unit(s),2,25,11.42,Customers
"Mofongo Snak",2,1,Unit(s),2,40,24.11,Customers
"Choko Chokis Chocolate 84g",4,1,Unit(s),4,25,17.52,Stock
Platanitos,1,1,Unit(s),1,40,24.11,Customers
"Pica expres Palitos Sabor Original",1,1,Unit(s),1,15,10.67,Customers
"Hershey's Cookies & Creme",1,1,Unit(s),1,45,32.22,Customers
"Kikaboni Moringa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Mofongo Snak",1,1,Unit(s),1,40,24.11,Customers
"Hershey's Kisses",1,1,Unit(s),1,45,35.83,Customers
"Pica expres Palitos Sabor Original",1,1,Unit(s),1,15,10.67,Customers
"Kikaboni Moringa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Kikaboni Moringa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Snickers Almond",1,1,Unit(s),1,45,31.88,Customers
"Kikaboni Moringa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Kikaboni Moringa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Pringles Papita Quezo 40g",1,1,Unit(s),1,35,24.58,Customers
Cheetos,2,1,Unit(s),2,40,24.11,Customers
"Kikaboni Quinoa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Lays Limon",1,1,Unit(s),1,40,24.11,Customers
"Lays Limon",1,1,Unit(s),1,40,24.11,Customers
"Chokis Sabor a Chocolate",4,1,Unit(s),4,25,17.52,Stock
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Oreo Galleta Chocolate 2oz",1,1,Unit(s),1,30,22.5,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Kikaboni Moringa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
"Country Club Refresco Merengue 20oz",1,1,Unit(s),1,35,24.72,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
"Agua Dasani",2,1,Unit(s),2,25,11.42,Customers
"Lays Limon",1,1,Unit(s),1,40,24.11,Customers
"Lays Queso Blanco",1,1,Unit(s),1,40,24.11,Customers
"Lays Limon",1,1,Unit(s),1,40,24.11,Customers
"Country Club Refresco Merengue 20oz",1,1,Unit(s),1,35,24.72,Customers
"Planters Maní 1 oz",1,1,Unit(s),1,20,8.33,Customers
"Emperador Chocolate Intenso 94g",4,1,Unit(s),4,30,21.03,Stock
"Lays Queso Blanco",1,1,Unit(s),1,40,24.11,Customers
Cheetos,1,1,Unit(s),1,40,24.11,Customers
Chicharron,1,1,Unit(s),1,40,24.11,Customers
"Lays Queso Blanco",1,1,Unit(s),1,40,24.11,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
"Lays Clasicas",1,1,Unit(s),1,40,24.11,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Lays Clasicas",1,1,Unit(s),1,40,24.11,Customers
"Kikaboni Quinoa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Sprite 20oz",1,1,Unit(s),1,35,24.72,Customers
"Sprite 20oz",1,1,Unit(s),1,35,24.72,Customers
"Sprite 20oz",1,1,Unit(s),1,35,24.72,Customers
Platanitos,1,1,Unit(s),1,40,24.11,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Lays Clasicas",1,1,Unit(s),1,40,24.11,Customers
"Hershey's Kisses",1,1,Unit(s),1,45,35.83,Customers
"Pica expres Palitos Sabor Original",1,1,Unit(s),1,15,10.67,Customers
"Lays Queso Blanco",1,1,Unit(s),1,40,24.11,Customers
"Chokis Chocolate 63g",4,1,Unit(s),4,35,24.51,Stock
"Lays Limon",1,1,Unit(s),1,40,24.11,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
"Lays Limon",2,1,Unit(s),2,40,24.11,Customers
"Country Club Refresco Merengue 20oz",1,1,Unit(s),1,35,24.72,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
Platanitos,1,1,Unit(s),1,40,24.11,Customers
"Lays Queso Blanco",1,1,Unit(s),1,40,24.11,Customers
Platanitos,1,1,Unit(s),1,40,24.11,Customers
"Fanta Uva 20oz",1,1,Unit(s),1,35,34.95,Customers
"Lays Queso Blanco",1,1,Unit(s),1,40,24.11,Customers
"Florentinas Sabor Fresa 83g",4,1,Unit(s),4,30,21.03,Stock
"Kikaboni Moringa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Snickers ",1,1,Unit(s),1,45,28.65,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
"Lays Limon",2,1,Unit(s),2,40,24.11,Customers
"Country Club Refresco Rojo 20oz",1,1,Unit(s),1,35,24.72,Customers
"Kikaboni Quinoa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Kikaboni Quinoa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
"Coca Cola Light 20onz",1,1,Unit(s),1,35,24.72,Customers
Chicharron,1,1,Unit(s),1,40,24.11,Customers
"Planters Maní 1 oz",2,1,Unit(s),2,20,8.33,Customers
Warsteiner,1,1,Unit(s),1,120,73.5,Customers
"Senzo Mix Chocolate 93g",4,1,Unit(s),4,35,24.53,Stock
"Emperador Chocolates 81g",4,1,Unit(s),4,25,17.52,Stock
"Emperador Vainilla Cremosa 81g",4,1,Unit(s),4,25,17.52,Stock
Chicharron,1,1,Unit(s),1,40,24.11,Customers
"Country Club Refresco Uva 20oz",1,1,Unit(s),1,35,24.72,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
"Mofongo Snak",1,1,Unit(s),1,40,24.11,Customers
Warsteiner,2,1,Unit(s),2,120,73.5,Customers
"Lays Queso Blanco",1,1,Unit(s),1,40,24.11,Customers
"Country Club Refresco Merengue 20oz",1,1,Unit(s),1,35,24.72,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
"Quaker Galletas De Avena Chocolate 38g",4,1,Unit(s),4,20,14.02,Stock
"Quaker Galletas De Avena Granola 38g",4,1,Unit(s),4,20,14.01,Stock
"Quaker Galletas De Avena Pasas 38g",4,1,Unit(s),4,20,14.01,Stock
"Lays Clasicas",1,1,Unit(s),1,40,24.11,Customers
"Country Club Refresco Rojo 20oz",1,1,Unit(s),1,35,24.72,Customers
"Lays Clasicas",2,1,Unit(s),2,40,24.11,Customers
"Lays Queso Blanco",1,1,Unit(s),1,40,24.11,Customers
"Coca Cola 20 oz",1,1,Unit(s),1,35,24.67,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
Platanitos,2,1,Unit(s),2,40,24.11,Customers
"Agua Dasani",1,1,Unit(s),1,25,11.42,Customers
Platanitos,1,1,Unit(s),1,40,24.11,Customers
"Lays Queso Blanco",1,1,Unit(s),1,40,24.11,Customers
"Kikaboni Quinoa Pita Chips 1.25oz",1,1,Unit(s),1,55,41.3,Customers
