
"Dasani Agua Saborizada Mandarina 20oz",32,30,17.44,Customers
"Dasani Agua Saborizada Limon 20oz",23,30,17.44,Customers
"Emperador Vainilla Cremosa 81g",23,25,17.52,Customers
"Trident Sabor a Menta",10,40,28.02,Customers
"Nescafe Vasos",7,1,176.27,Stock
"Infinity Chiclets (Yerbabuena)",9,30,22.04,Customers
"Country Club Refresco Rojo 20oz",9,35,24.72,Customers
"Dasani Agua Saborizada 20oz",26,30,17.44,Customers
"Pringles Papita Limon 40g",36.000000000096,35,24.58,Stock
"Nescau Con Leche Funda 1.3 kg",3,1,1100,Stock
"Emperador Chocolates 81g",24,25,17.52,Stock
"Cup Noodles Chicken",5,75,25.83,Customers
"Sprite 20oz",114,35,24.72,Customers
"Chokis Chocolate 63g",11,35,24.51,Customers
"Planters Maní 1 oz",144.000000002304,20,8.33,Stock
"Cup Noodles Shrimp",12.000000000048,75,25.83,Stock
"Hojuelitas BBQ",56,15,7.18,Stock
"Del Valle Jugo Naranja 16oz",88,30,17.25,Customers
"Pringles Papita Original",36.000000000096,35,24.58,Stock
"Trident Sandia",20,40,28.02,Customers
"Fanta Naranja 2oz",19,35,24.67,Customers
"Pringles Papita Quezo 40g",42,35,24.58,Customers
"Quaker Galletas De Avena Pasas 38g",46,20,14.01,Stock
"Senzo Mix Chocolate 93g",59,35,24.53,Customers
Yuquitas,4,60,40.4,Customers
"Quaker Galletas De Avena Granola 38g",50,20,14.01,Customers
"Twix Chocolate",35.999999999712,45,28.61,Stock
"Mofongo Snak",74,40,24.11,Customers
"Emperador Chocolate Intenso 94g",19,30,21.03,Customers
"Hershey's Milk",35.999999999712,45,32.22,Stock
"Coca Cola Light 20onz",67,35,24.72,Customers
Platanitos,116,40,24.11,Stock
Warsteiner,12,120,73.5,Customers
"Nescafe Capuchino",10,40,0,Stock
"Honey Dew",15,150,99.75,Stock
"Fanta Uva 20oz",3,35,34.95,Customers
"Wraps de Jamon y Queso",5,110,60,Customers
"Nescafe Cafe Largo",32,20,0,Customers
"Chokis Sabor a Chocolate",13,25,17.52,Customers
"Hojuelitas Quezo",65,15,7.18,Customers
"Kikaboni Quinoa Pita Chips 1.25oz",24,55,41.3,Stock
"Croquetas de Pollo",2,30,20,Customers
"Trident Uva-Naranja",3,30,12.43,Customers
"Del Valle Jugo Frut Punch 16oz",25,30,17.3,Customers
"NESTEA te frio",104,35,0,Customers
"Wraps de Jamon y Queso",10,110,60,Stock
"Fanta Uva 20oz",4,35,34.95,Stock
"Hojuelitas Quezo",66,15,7.18,Stock
"Chokis Sabor a Chocolate",17,25,17.52,Stock
"Nestea Limon",5,0,433.05,Stock
"Nestea Vasos",3,1,214.41,Stock
"Trident Uva-Naranja",17.999999999856,30,12.43,Stock
"Croquetas de Pollo",20,30,20,Stock
"Kikaboni Quinoa Pita Chips 1.25oz",34,55,41.3,Customers
"Servilletas 100/1",3,0,0,Stock
"Del Valle Jugo Frut Punch 16oz",18,30,17.3,Stock
"Quaker Galletas De Avena Granola 38g",54,20,14.01,Stock
Yuquitas,8,60,40.4,Stock
"Twix Chocolate",12,45,28.61,Customers
Croissants,6,50,189.95,Customers
"Emperador Chocolate Intenso 94g",24,30,21.03,Stock
"Hershey's Milk",18,45,32.22,Customers
"Mofongo Snak",103,40,24.11,Stock
"Honey Dew",12,150,99.75,Customers
Platanitos,106,40,24.11,Customers
Warsteiner,15,120,73.5,Stock
"Nescafe Capuchino",333,40,0,Customers
"Coca Cola Light 20onz",65.00000000024,35,24.72,Stock
"Hojuelitas BBQ",44,15,7.18,Customers
"Planters Maní 1 oz",144,20,8.33,Customers
"Chokis Chocolate 63g",19,35,24.51,Stock
"Cup Noodles Shrimp",2,75,25.83,Customers
"Pringles Papita Original",24,35,24.58,Customers
"Del Valle Jugo Naranja 16oz",89.000000000144,30,17.25,Stock
"Vaso 10oz",2,0,52.95,Stock
"Trident Sandia",24.000000000096,40,28.02,Stock
"Fanta Naranja 2oz",24.000000000048,35,24.67,Stock
"Senzo Mix Chocolate 93g",54,35,24.53,Stock
"Quaker Galletas De Avena Pasas 38g",42,20,14.01,Customers
"Pringles Papita Quezo 40g",48.000000000144,35,24.58,Stock
"Dasani Agua Saborizada Mandarina 20oz",24,30,17.44,Stock
"Country Club Refresco Rojo 20oz",12,35,24.72,Stock
"Nescafe Chocolate",52,40,0,Customers
"Infinity Chiclets (Yerbabuena)",12.000000000048,30,22.04,Stock
"Emperador Vainilla Cremosa 81g",31,25,17.52,Stock
"Dasani Agua Saborizada Limon 20oz",18,30,17.44,Stock
"Trident Sabor a Menta",24.000000000096,40,28.02,Stock
"Emperador Chocolates 81g",20,25,17.52,Customers
"Pringles Papita Limon 40g",28,35,24.58,Customers
"Nescafe Tapas",3,1,124.58,Stock
"Dasani Agua Saborizada 20oz",5,30,17.44,Stock
"Sprite 20oz",126.000000000432,35,24.72,Stock
"Chokis 63g",6,25,17.52,Stock
"Cup Noodles Chicken",12.000000000048,75,25.83,Stock
"Hershey's Cookies & Creme",99,45,32.22,Customers
Chicharron,46,40,24.11,Customers
Fruitylicious!,60,60,35,Stock
"Halls Menthol",16,15,10.94,Stock
"Country Club Refresco Merengue 20oz",12,35,24.72,Stock
"Wraps de Pollo",10,110,60,Stock
"Dasani Agua Saborizada Manzana 20oz",26,30,17.44,Stock
"Bandeja Plastica",8,0,269.95,Stock
"Infinity Chiclets (Frutas Rojas)",12.000000000048,30,22.04,Stock
"Kikaboni Moringa Pita Chips 1.25oz",48,55,41.3,Stock
"Crackets Galletas 43g",139,10,7.18,Customers
"Pala 6013C",1,0,89,Stock
"Agua Dasani",256,25,11.42,Customers
"Snickers Almond",71.999999999424,45,31.88,Stock
"Club Social Galletas ",215.99999998272,10,5.18,Stock
"Country Club Refresco Uva 20oz",44.000000000048,35,24.72,Stock
"Del Valle Jugos Uva",15,30,17.3,Stock
"Lays Limon",40,40,24.11,Stock
Sparkies,100,15,7.38,Stock
"Crackets MiniSandwich",47,25,16.5,Customers
"Quaker Galletas De Avena Chocolate 38g",49,20,14.02,Stock
"Hojuelitas Picantes",58,15,7.18,Stock
"Del Valle Jugo Manzana 16oz",20,30,17.3,Customers
"Pastelitos Pollo",20,30,20,Stock
"Pica Expres Yaniquequitos Crackers",119.999999999523,15,10.67,Stock
"Coca Cola 20 oz",241.000000000864,35,24.67,Stock
"Lays Queso Blanco",93,40,24.11,Stock
"Bubbaloo Xtreme Sabor a Fresa",21,10,3.2,Customers
"Hershey's Kisses",47.999999999616,45,35.83,Stock
"Florentinas Sabor Fresa 83g",35,30,21.03,Customers
"Bubbaloo Xtreme Mor@Azul",40,10,3.78,Stock
"Trident Fresa-Limon",7,30,12.43,Customers
"Lays Clasicas",58,40,24.11,Stock
"Halls Mentas Fresa",16,15,10.94,Stock
"Nescafe Mezcladores",2,1,292.37,Stock
"Pica expres Palitos Sabor Original",132,15,10.67,Customers
"Trident Sandia-Yerbabuena",1,30,18,Customers
"Quaker Galletas De Avena Frutos Rojos 38g",50,20,14.01,Customers
"Cafe con leche",2,35,0,Stock
"Trident Fresandia Citrus",12.000000000048,25,18.88,Stock
"M & M Chocolate",37,45,28.65,Customers
Doritos,75,40,24.11,Customers
"Choko Chokis Chocolate 84g",7,25,17.52,Stock
"Snickers ",39,45,28.65,Customers
Maduritos,8,40,17.52,Stock
"Nescafe Latte 2 Lib",9,0,733.05,Stock
"M & M Con Mani",96.000000001536,45,28.65,Stock
"Milky Way",36.999999999712,45,28.61,Stock
"Oreo Galleta Chocolate 2oz",59.999999999952,30,22.5,Stock
Cheetos,62,40,24.11,Stock
"Clorets ",9,10,7.48,Customers
Maduritos,6,40,17.52,Customers
"Choko Chokis Chocolate 84g",9,25,17.52,Customers
"Snickers ",48.000000000768,45,28.65,Stock
Doritos,106,40,24.11,Stock
"Milky Way",25,45,28.61,Customers
"M & M Con Mani",44,45,28.65,Customers
"Oreo Galleta Chocolate 2oz",37,30,22.5,Customers
Cheetos,44,40,24.11,Customers
"Clorets ",20,10,7.48,Stock
"Florentinas Sabor Fresa 83g",32,30,21.03,Stock
"Bubbaloo Xtreme Mor@Azul",25,10,3.78,Customers
"Nescafe Mocachino",41,40,0,Customers
"Hershey's Kisses",34,45,35.83,Customers
"Bubbaloo Xtreme Sabor a Fresa",40,10,3.2,Stock
"Halls Mentas Fresa",4,15,10.94,Customers
"Lays Clasicas",39,40,24.11,Customers
"Bandeja de Aluminio 752",2,0,97,Stock
"Trident Fresa-Limon",17.999999999856,30,12.43,Stock
"Trident Sandia-Yerbabuena",10,30,18,Stock
"Pica expres Palitos Sabor Original",134.999999999325,15,10.67,Stock
"M & M Chocolate",48.000000000768,45,28.65,Stock
"Trident Fresandia Citrus",5,25,18.88,Customers
"Cafe con leche",15,35,0,Customers
"Nescafe Expresso",20,35,0,Customers
"Quaker Galletas De Avena Frutos Rojos 38g",56,20,14.01,Stock
"Club Social Galletas ",27,10,5.18,Customers
"Agua Dasani",240.000000000816,25,11.42,Stock
"Snickers Almond",45,45,31.88,Customers
Sparkies,73,15,7.38,Customers
"Lays Limon",29,40,24.11,Customers
"Del Valle Jugos Uva",12,30,17.3,Customers
"Country Club Refresco Uva 20oz",56,35,24.72,Customers
"Del Valle Jugo Manzana 16oz",22,30,17.3,Stock
