Tipo,ITBIS,Retenido,Facturado
01 - Gastos de personal,0.0,0.0,0.0
02 - Gastos por trabajo suministros y servicios,0.0,0.0,3736.83
03 - Arrendamientos,3600.0,3600.0,20000.0
04 - Gastos de Activos Fijos,0.0,0.0,0.0
05 - Gastos de Representacion,0.0,0.0,0.0
06 - Otras Deducciones Admitidas,0.0,0.0,0.0
07 - Gastos Financieros,0.0,0.0,2082.88
08 - Gastos Extraordinarios,0.0,0.0,0.0
09 - Compras y Gastos que forman parte del Costo de Venta,7948.33,0.0,44157.36
10 - Adquisiciones de Activos,0.0,0.0,0.0
11 - Gastos de Seguro,0.0,0.0,0.0
